7.9818 	EXP 	Created or_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='or_3', opacity=1.0, ori=0, pos=array([-0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
7.9845 	EXP 	Created Bad_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Bad_3', opacity=1.0, ori=0, pos=array([-0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Bad', units=u'norm', win=Window(...), wrapWidth=1)
7.9875 	EXP 	Created Practical_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Practical_3', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
7.9898 	EXP 	Created or_2_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='or_2_3', opacity=1.0, ori=0, pos=array([ 0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
7.9927 	EXP 	Created Good_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Good_3', opacity=1.0, ori=0, pos=array([ 0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Good', units=u'norm', win=Window(...), wrapWidth=1)
7.9985 	EXP 	Created Word_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Word_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.0005 	EXP 	Created Wrong_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wrong_3', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
8.0140 	EXP 	Created Instr4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='Instr4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.2)
8.0169 	EXP 	Created Instr_Creat_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Creat_4', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
8.0191 	EXP 	Created Instr_or_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instr_or_4', opacity=1.0, ori=0, pos=array([-0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
8.0219 	EXP 	Created Instr_Bad_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Bad_4', opacity=1.0, ori=0, pos=array([-0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Bad', units=u'norm', win=Window(...), wrapWidth=1)
8.0249 	EXP 	Created Instr_Prac_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Prac_4', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
8.0272 	EXP 	Created Instr_or_4_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instr_or_4_2', opacity=1.0, ori=0, pos=array([ 0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
8.0301 	EXP 	Created Instr_Good_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Good_4', opacity=1.0, ori=0, pos=array([ 0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Good', units=u'norm', win=Window(...), wrapWidth=1)
8.0329 	EXP 	Created Creative_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Creative_4', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
8.0354 	EXP 	Created or_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='or_4', opacity=1.0, ori=0, pos=array([-0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
8.0383 	EXP 	Created Bad_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Bad_4', opacity=1.0, ori=0, pos=array([-0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Bad', units=u'norm', win=Window(...), wrapWidth=1)
8.0423 	EXP 	Created Practical_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Practical_4', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
8.0445 	EXP 	Created or_2_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='or_2_4', opacity=1.0, ori=0, pos=array([ 0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
8.0474 	EXP 	Created Good_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Good_4', opacity=1.0, ori=0, pos=array([ 0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Good', units=u'norm', win=Window(...), wrapWidth=1)
8.0530 	EXP 	Created Word_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Word_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.0551 	EXP 	Created Wrong_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wrong_4', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
