32.7724 	EXP 	gabor: autoDraw = False
32.7724 	EXP 	gabor: color = '[  3.15478672e-09   3.15478672e-09   3.15478672e-09] (rgb)'
32.7724 	EXP 	fixation: autoDraw = True
33.2896 	EXP 	gabor: autoDraw = True
33.7734 	EXP 	fixation: autoDraw = False
33.7734 	EXP 	gabor: autoDraw = False
35.2749 	EXP 	fixation: autoDraw = False
35.2749 	EXP 	gabor: autoDraw = False
35.2749 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
35.2749 	EXP 	fixation: autoDraw = True
35.7595 	DATA 	Keypress: down
35.7755 	EXP 	gabor: autoDraw = True
36.2759 	EXP 	fixation: autoDraw = False
36.2759 	EXP 	gabor: autoDraw = False
36.4601 	DATA 	Keypress: down
36.4929 	EXP 	fixation: autoDraw = False
36.4929 	EXP 	gabor: autoDraw = False
36.4929 	EXP 	gabor: color = '[  7.92446596e-09   7.92446596e-09   7.92446596e-09] (rgb)'
36.4929 	EXP 	fixation: autoDraw = True
36.9933 	EXP 	gabor: autoDraw = True
37.4938 	EXP 	fixation: autoDraw = False
37.4938 	EXP 	gabor: autoDraw = False
37.4944 	DATA 	Keypress: down
37.5106 	EXP 	fixation: autoDraw = False
37.5106 	EXP 	gabor: autoDraw = False
37.5106 	EXP 	gabor: color = '[  1.25594322e-08   1.25594322e-08   1.25594322e-08] (rgb)'
37.5106 	EXP 	fixation: autoDraw = True
38.0277 	EXP 	gabor: autoDraw = True
38.2453 	DATA 	Keypress: up
38.2613 	EXP 	fixation: autoDraw = False
38.2613 	EXP 	gabor: autoDraw = False
38.2613 	EXP 	gabor: color = '[  1.25594322e-08   1.25594322e-08   1.25594322e-08] (rgb)'
38.2613 	EXP 	fixation: autoDraw = True
38.7785 	EXP 	gabor: autoDraw = True
38.8292 	DATA 	Keypress: up
38.8451 	EXP 	fixation: autoDraw = False
38.8451 	EXP 	gabor: autoDraw = False
38.8451 	EXP 	gabor: color = '[  1.25594322e-08   1.25594322e-08   1.25594322e-08] (rgb)'
38.8451 	EXP 	fixation: autoDraw = True
39.2628 	DATA 	Keypress: up
39.3623 	EXP 	gabor: autoDraw = True
39.8463 	EXP 	fixation: autoDraw = False
39.8463 	EXP 	gabor: autoDraw = False
40.0295 	DATA 	Keypress: escape
